target,attack,threat_model,attack_auc_mean,attack_auc_std,tpr_001_mean,tpr_001_std,tpr_01_mean,tpr_01_std,empirical_epsilon_mean,empirical_epsilon_std,n_seeds,target_test_auc_mean,target_test_auc_std,theoretical_epsilon,pct_of_bayes_ceiling,label
Non-private (overfit),class_calibrated_loss,label_aware,0.5855679166666666,0.0013791052475274712,0.0013888888888888666,0.002405626121623402,0.0111111111111111,0.0010485881160098112,2.3556917954743612,0.6292446906510766,3,0.7112634722734794,0.0072922724173983405,inf,0.9067257579154046,"Non-private
(overfit)"
Non-private (tuned),lira,label_aware,0.5121461111111111,0.0032968586953256713,0.0009722222222222,0.0004811252243247267,0.011527777777777734,0.005548606765399478,0.014807322605420033,0.024625593745297856,3,0.7755920415634133,0.006703531397589361,inf,0.9887324586933713,"Non-private
(tuned)"
DP eps=8,class_calibrated_loss,label_aware,0.5066694444444445,0.00636547622889002,0.0026388888888888664,0.0014632852434517344,0.011111111111111066,0.0030142408908626094,0.0,0.0,3,0.7726831290568994,0.0067396156128579935,7.994634344760099,0.9850241480602558,"DP
eps=8"
DP eps=3,class_calibrated_loss,label_aware,0.5057943055555556,0.0067869960255711875,0.0013888888888888334,0.0004811252243246688,0.011111111111111066,0.003182344232608226,0.0,0.0,3,0.7707983862609543,0.007395971065036143,2.991546364891058,0.9826214591738627,"DP
eps=3"
DP eps=1,class_calibrated_loss,label_aware,0.5059975,0.006742810913931011,0.0018055555555555334,0.0016839382851363907,0.010416666666666635,0.0018162078931419781,0.0,0.0,3,0.7660532615774773,0.004823507964517823,0.9943153107007144,0.9765723269707478,"DP
eps=1"
DP eps=0.5,class_calibrated_loss,label_aware,0.5063916435185186,0.005358748965223728,0.0020833333333333333,0.0019094065395649333,0.009027777777777734,0.0026787918780536053,0.0,0.0,3,0.7526092747770745,0.004872085156757615,0.49854189332246496,0.9594337987091518,"DP
eps=0.5"
