seed,target,attack,fpr,tpr
1,Non-private (overfit),confidence,0.00031622776601683794,0.00025338763302631246
1,Non-private (overfit),confidence,0.00033838551534282334,0.00027114223985803154
1,Non-private (overfit),confidence,0.0003620958350245917,0.00029014089344919205
1,Non-private (overfit),confidence,0.0003874675120456132,0.0003104707628570619
1,Non-private (overfit),confidence,0.0004146169559796819,0.00033222512498371946
1,Non-private (overfit),confidence,0.0004436687330978611,0.0003555037925463631
1,Non-private (overfit),confidence,0.00047475613789974203,0.0003804135720350497
1,Non-private (overfit),confidence,0.0005080218046913023,0.0004070687537590564
1,Non-private (overfit),confidence,0.0005436183620153838,0.0004355916362302755
1,Non-private (overfit),confidence,0.0005817091329374358,0.00046611308728961205
1,Non-private (overfit),confidence,0.000622468884399544,0.0004987731445509167
1,Non-private (overfit),confidence,0.0006660846290809161,0.0005337216579174007
1,Non-private (overfit),confidence,0.0007127564834438914,0.0005711189771185028
1,Non-private (overfit),confidence,0.0007626985859023443,0.0006111366874217504
1,Non-private (overfit),confidence,0.0008161400793251826,0.0006539583968951785
1,Non-private (overfit),confidence,0.0008733261623828437,0.0006997805788324069
1,Non-private (overfit),confidence,0.0009345192145605374,0.0007488134732055588
1,Non-private (overfit),confidence,0.001,0.0008012820512820514
1,Non-private (overfit),confidence,0.0010700689556931745,0.0008574270478310694
1,Non-private (overfit),confidence,0.0011450475699382812,0.000917506065655674
1,Non-private (overfit),confidence,0.0012252798573828651,0.0009817947575183215
1,Non-private (overfit),confidence,0.0013111339374215643,0.0010505880908826637
1,Non-private (overfit),confidence,0.0014030037231905735,0.0011242017012744981
1,Non-private (overfit),confidence,0.0015013107289081743,0.0012029733404712935
1,Non-private (overfit),confidence,0.0016065060038537287,0.0012872644261648469
1,Non-private (overfit),confidence,0.0017190722018585747,0.0013774617002071912
1,Non-private (overfit),confidence,0.0018395257958039712,0.0014739790030480538
1,Non-private (overfit),confidence,0.0019684194472866113,0.0015772591725052975
1,Non-private (overfit),confidence,0.00210634454232412,0.0016877760755802246
