target,attack,threat_model,auc,auc_lo,auc_hi,balanced_accuracy_optimistic,empirical_epsilon,n_eval,fpr_resolution_floor,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.1,tpr_at_fpr_0.01_lo,tpr_at_fpr_0.01_hi,seed,target_test_auc,theoretical_epsilon,bayes_ceiling
Non-private (tuned),modified_entropy,label_aware,0.5084648611111111,0.49339838194444446,0.5251270243055555,0.51075,0.0,5400,0.0003333333333333333,0.0016666666666666668,0.015,0.11708333333333333,0.007906250000000002,0.022510416666666658,0,0.7667141371064015,inf,0.7786891358862815
Non-private (tuned),class_calibrated_loss,label_aware,0.5087118055555555,0.4937030451388889,0.5243455104166665,0.5119583333333333,0.0,5400,0.0003333333333333333,0.0016666666666666668,0.015,0.11041666666666666,0.01,0.0225,0,0.7667141371064015,inf,0.7786891358862815
Non-private (tuned),learned_ensemble,label_aware,0.49349965277777774,0.47891742881944444,0.5094978020833333,0.504375,0.0,5400,0.0003333333333333333,0.00125,0.00625,0.09208333333333334,0.002489583333333334,0.01,0,0.7667141371064015,inf,0.7786891358862815
Non-private (tuned),lira,label_aware,0.5129240277777778,0.49653766666666665,0.5270318784722222,0.5186666666666666,0.04323423925198008,5400,0.0003333333333333333,0.00125,0.007916666666666667,0.10333333333333333,0.004166666666666667,0.012510416666666658,0,0.7667141371064015,inf,0.7786891358862815
DP eps=8,confidence,label_agnostic,0.4968142361111111,0.4809393923611111,0.5130934965277777,0.5055833333333333,0.0,5400,0.0003333333333333333,0.00125,0.015,0.10416666666666667,0.009583333333333333,0.02,0,0.7634343446529404,7.994634344760099,0.7786891358862815
DP eps=8,neg_entropy,label_agnostic,0.4968142361111111,0.48107471180555555,0.5128881979166666,0.5055833333333333,0.0,5400,0.0003333333333333333,0.00125,0.015,0.10416666666666667,0.009166666666666667,0.020416666666666666,0,0.7634343446529404,7.994634344760099,0.7786891358862815
DP eps=8,yeom_neg_loss,label_aware,0.5061461111111111,0.4879016041666666,0.5200075590277777,0.5102916666666666,0.0,5400,0.0003333333333333333,0.00125,0.014166666666666666,0.10625,0.008333333333333333,0.019166666666666665,0,0.7634343446529404,7.994634344760099,0.7786891358862815
DP eps=8,modified_entropy,label_aware,0.5061459027777777,0.4909367413194444,0.5213434826388889,0.5102916666666666,0.0,5400,0.0003333333333333333,0.00125,0.014166666666666666,0.10625,0.00875,0.01875,0,0.7634343446529404,7.994634344760099,0.7786891358862815
DP eps=8,class_calibrated_loss,label_aware,0.511298888888889,0.49625406770833336,0.5269029392361111,0.5125416666666667,0.0,5400,0.0003333333333333333,0.004166666666666667,0.014583333333333334,0.10666666666666667,0.009583333333333333,0.021666666666666667,0,0.7634343446529404,7.994634344760099,0.7786891358862815
DP eps=8,learned_ensemble,label_aware,0.48981284722222224,0.4755332569444445,0.5041636423611111,0.5015833333333334,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.010833333333333334,0.09625,0.0033229166666666676,0.017916666666666668,0,0.7634343446529404,7.994634344760099,0.7786891358862815
DP eps=3,confidence,label_agnostic,0.4975155555555556,0.48235648263888886,0.511782295138889,0.5067083333333333,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.013333333333333334,0.10791666666666666,0.007906250000000002,0.02084374999999999,0,0.7607084044613073,2.991546364891058,0.7786891358862815
DP eps=3,neg_entropy,label_agnostic,0.4975155555555556,0.48220024652777776,0.5103480625,0.5067083333333333,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.013333333333333334,0.10791666666666666,0.007916666666666667,0.019166666666666665,0,0.7607084044613073,2.991546364891058,0.7786891358862815
DP eps=3,yeom_neg_loss,label_aware,0.5048984722222222,0.4884318819444445,0.5195733194444445,0.5092083333333334,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.012083333333333333,0.10666666666666667,0.00625,0.018770833333333313,0,0.7607084044613073,2.991546364891058,0.7786891358862815
DP eps=3,modified_entropy,label_aware,0.5048979166666666,0.49047078819444445,0.5197662152777778,0.5092083333333334,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.012083333333333333,0.10666666666666667,0.006666666666666667,0.019583333333333335,0,0.7607084044613073,2.991546364891058,0.7786891358862815
DP eps=3,class_calibrated_loss,label_aware,0.5111104166666667,0.4966641614583333,0.5262693715277778,0.5132916666666667,0.0,5400,0.0003333333333333333,0.0016666666666666668,0.014583333333333334,0.1075,0.007489583333333333,0.020416666666666666,0,0.7607084044613073,2.991546364891058,0.7786891358862815
DP eps=3,learned_ensemble,label_aware,0.5066885416666667,0.4903285850694445,0.5228221388888888,0.51025,0.0,5400,0.0003333333333333333,0.00125,0.006666666666666667,0.09291666666666666,0.002916666666666667,0.012927083333333323,0,0.7607084044613073,2.991546364891058,0.7786891358862815
DP eps=1,confidence,label_agnostic,0.49469722222222223,0.47865596875,0.5111116944444444,0.504625,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.014166666666666666,0.10625,0.005416666666666667,0.020416666666666666,0,0.7595497016600763,0.9943153107007144,0.7786891358862815
DP eps=1,neg_entropy,label_agnostic,0.49469722222222223,0.4786638993055556,0.5099355868055556,0.504625,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.014166666666666666,0.10625,0.005822916666666667,0.020427083333333325,0,0.7595497016600763,0.9943153107007144,0.7786891358862815
DP eps=1,yeom_neg_loss,label_aware,0.5024080555555556,0.48740697395833327,0.5178634878472221,0.5087083333333333,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.013333333333333334,0.10666666666666667,0.0054062500000000005,0.019583333333333335,0,0.7595497016600763,0.9943153107007144,0.7786891358862815
DP eps=1,modified_entropy,label_aware,0.5024079166666667,0.4872735069444445,0.517765579861111,0.5087083333333333,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.013333333333333334,0.10666666666666667,0.005416666666666667,0.019166666666666665,0,0.7595497016600763,0.9943153107007144,0.7786891358862815
DP eps=1,class_calibrated_loss,label_aware,0.5115105555555556,0.4957922395833333,0.5249579097222222,0.5132916666666667,0.0,5400,0.0003333333333333333,0.0020833333333333333,0.0125,0.10583333333333333,0.007083333333333333,0.02001041666666666,0,0.7595497016600763,0.9943153107007144,0.7786891358862815
DP eps=1,learned_ensemble,label_aware,0.5039049305555556,0.48905937847222225,0.5201520208333333,0.507875,0.0,5400,0.0003333333333333333,0.0008333333333333334,0.011666666666666667,0.10041666666666667,0.00625,0.01751041666666666,0,0.7595497016600763,0.9943153107007144,0.7786891358862815
DP eps=0.5,confidence,label_agnostic,0.49462249999999996,0.4791743715277778,0.5095203402777778,0.5041666666666667,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.010833333333333334,0.1075,0.006239583333333334,0.015833333333333335,0,0.755776377488154,0.4985418933224649,0.7786891358862815
DP eps=0.5,neg_entropy,label_agnostic,0.49462249999999996,0.47941210763888886,0.5101465798611111,0.5041666666666667,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.010833333333333334,0.1075,0.006666666666666667,0.015416666666666667,0,0.755776377488154,0.4985418933224649,0.7786891358862815
DP eps=0.5,yeom_neg_loss,label_aware,0.5024379166666667,0.48736342361111107,0.518883951388889,0.5080416666666667,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.010416666666666666,0.10541666666666667,0.00625,0.015010416666666656,0,0.755776377488154,0.4985418933224649,0.7786891358862815
DP eps=0.5,modified_entropy,label_aware,0.5024376388888888,0.4876443819444444,0.5167468645833333,0.5080416666666667,0.0,5400,0.0003333333333333333,0.0004166666666666667,0.010416666666666666,0.10541666666666667,0.00625,0.015843749999999993,0,0.755776377488154,0.4985418933224649,0.7786891358862815
DP eps=0.5,class_calibrated_loss,label_aware,0.5114822222222223,0.4954180694444444,0.528066407986111,0.5114166666666666,0.0,5400,0.0003333333333333333,0.0025,0.012083333333333333,0.10791666666666666,0.006666666666666667,0.01875,0,0.755776377488154,0.4985418933224649,0.7786891358862815
DP eps=0.5,learned_ensemble,label_aware,0.4820884027777777,0.46724481249999994,0.49727231076388884,0.5039583333333333,0.0,5400,0.0003333333333333333,0.0020833333333333333,0.009166666666666667,0.10333333333333333,0.004583333333333333,0.014583333333333334,0,0.755776377488154,0.4985418933224649,0.7786891358862815
